data_titleid,dir_and_wri,movie_name,movie_years
tt4458206,"Celal Çimen (dir.), Cem Kurtoglu, Hakan Ural",Kod Adi K.O.Z.,(2015)
tt4009460,"Darren Doane (dir.), Kirk Cameron, Darren Doane",Saving Christmas,(2014)
tt0270846,"Bob Clark (dir.), Jon Voight, Scott Baio",Superbabies: Baby Geniuses 2,(2004)
tt0421051,"Ulli Lommel (dir.), Daniel Küblböck, Ulli Lommel",Daniel der Zauberer,(2004)
tt0060666,"Harold P. Warren (dir.), Tom Neyman, John Reynolds",Manos: The Hands of Fate,(1966)
tt0417056,"William Heins (dir.), Paris Hilton, Simon Rex",Pledge This!,(2006)
tt0249516,"Lawrence Kasanoff (dir.), Hilary Duff, Haylie Duff",Foodfight!,(2012)
tt0808240,"Kartal Tibet (dir.), Cüneyt Arkin, Haldun Boysan",Dünyayi Kurtaran Adam'in Oglu,(2006)
tt1309000,"Gábor Forgács (dir.), Lilla Labanc, Kinga Czifra",Álom.net,(2009)
tt0330994,"Camillo Teti (dir.), Lisa Russo, Mark Thompson-Ashworth",Titanic - La leggenda continua,(2000)
tt1316037,"James Nguyen (dir.), Alan Bagh, Whitney Moore",Birdemic: Shock and Terror,(2010)
tt2071491,"Brett Kelly (dir.), Emanuelle Carriere, Christine Emes",Jurassic Shark,(2012)
tt0463392,"Ulli Lommel (dir.), Gunter Ziegler, Brandon Dean",Zombie Nation,(2004)
tt0470833,"Tayfun Güneyer (dir.), Mehmet Ali Erbil, Petek Dinçöz",Keloglan Karaprens'e Karsi,(2006)
tt1213644,"Jason Friedberg (dir.), Carmen Electra, Vanessa Lachey",Disaster Movie,(2008)
tt4404474,"Michael David Pate (dir.), Joyce Ilg, Torge Oelrich",Kartoffelsalat,(2015)
tt0830861,"György Gát (dir.), Gábor Csöre, Freddie Highmore",Kis Vuk,(2008)
tt0473310,"Ram Gopal Varma (dir.), Amitabh Bachchan, Mohanlal",Ram Gopal Varma Ki Aag,(2007)
tt0804492,"Tom Putnam (dir.), Paris Hilton, Joel David Moore",The Hottie & the Nottie,(2008)
tt0339034,"Robert Iscove (dir.), Kelly Clarkson, Justin Guarini",From Justin to Kelly,(2003)
tt0953989,"Taner Akvardar (dir.), Mehmet Ali Erbil, Sarp Levendoglu",Emret Komutanim: Sah Mat,(2007)
tt0096870,"Valerie Breiman (dir.), Adam Sandler, Billy Bob Thornton",Going Overboard,(1989)
tt1623780,"Orlando Corradi (dir.), Gregory Snegoff, Francis Pardeilhan",La leggenda del Titanic,(1999)
tt1674047,"James Nguyen (dir.), Alan Bagh, Whitney Moore",Birdemic 2: The Resurrection,(2013)
tt0364986,"Sam Mraovich (dir.), Sam Mraovich, Jamie Brett Gabel",Ben & Arthur,(2002)
tt2344678,"Sajid Khan (dir.), Ajay Devgn, Tamannaah Bhatia",Himmatwala,(2013)
tt7668842,"Kamil Cetin (dir.), Enes Batur, Bilal Hanci",Enes Batur Hayal mi Gerçek mi?,(2018)
tt0059464,"Bill Rebane (dir.), Philip Morton, June Travis",Monster a-Go Go,(1965)
tt0317676,"Uwe Boll (dir.), Jonathan Cherry, Tyron Leitso",House of the Dead,(2003)
tt3036740,"Sajid Khan (dir.), Saif Ali Khan, Riteish Deshmukh",Humshakals,(2014)
tt0785077,"Don Michael Paul (dir.), Big Boi, Jeffrey Jones",Who's Your Caddy?,(2007)
tt0054673,"Coleman Francis (dir.), Douglas Mellor, Barbara Francis",The Beast of Yucca Flats,(1961)
tt0118589,"Vondie Curtis-Hall (dir.), Mariah Carey, Eric Benét",Glitter,(2001)
tt0362165,"Lawrence Guterman (dir.), Jamie Kennedy, Traylor Howard",Son of the Mask,(2005)
tt0089280,"Rick Sloane (dir.), Tom Bartlett, Paige Sullivan",Hobgoblins,(1988)
tt0473024,"Preston A. Whitmore II (dir.), Anthony Mackie, Wesley Jonathan",Crossover,(2006)
tt0096149,"David Winters (dir.), Reb Brown, John Phillip Law",Space Mutiny,(1988)
tt0060753,"Coleman Francis (dir.), Coleman Francis, Anthony Cardoza",Night Train to Mundo Fine,(1966)
tt0086026,"Juan Piquer Simón (dir.), Ian Sera, Nina Ferrer",Los nuevos extraterrestres,(1983)
tt0367677,"Darrell Roodt (dir.), Casper Van Dien, Erika Eleniak",Dracula 3000,(2004)
tt0456014,"Joel Silverman (dir.), Harland Williams, Corey Sevier",Surf School,(2006)
tt0061191,"Jerry Warren (dir.), Katherine Victor, George Mitchell",The Wild World of Batwoman,(1966)
tt0058615,"Will Zens (dir.), Robert Dornan, Richard Jordahl",The Starfighters,(1964)
tt0061671,"Gus Trikonis (dir.), Ross Hagen, Diane McBain",Five the Hard Way,(1969)
tt6038600,"Antoni Krauze (dir.), Beata Fido, Maciej Póltorak",Smolensk,(2016)
tt0093405,"Paul Weiland (dir.), Bill Cosby, Tom Courtenay",Leonard Part 6,(1987)
tt0799949,"Jason Friedberg (dir.), Kal Penn, Jennifer Coolidge",Epic Movie,(2007)
tt0369226,"Uwe Boll (dir.), Christian Slater, Tara Reid",Alone in the Dark,(2005)
tt0929809,"Faruk Aksoy (dir.), Alp Kirsan, Yagmur Atacan",Çilgin Dersane,(2007)
tt0087258,"Greydon Clark (dir.), Joe Don Baker, Rossano Brazzi",Final Justice,(1985)
tt0162930,"Peter Horak (dir.), Bruce Glover, Denny Sachen",Die Hard Dracula,(1998)
tt5290620,"Umesh (dir.), Tusshar Kapoor, Aftab Shivdasani",Kyaa Kool Hain Hum 3,(2016)
tt0055946,"Arch Hall Sr. (dir.), Arch Hall Jr., Marilyn Manning",Eegah,(1962)
tt2814362,"Frédéric Auburtin (dir.), Sam Neill, Tim Roth",United Passions,(2014)
tt1520498,"Matthew Diamond (dir.), Jaime Pressly, Cloris Leachman",The Oogieloves in the Big Balloon Adventure,(2012)
tt0469849,"Ugo Fabrizio Giordani (dir.), Costantino Vitagliano, Daniele Interrante",Troppo belli,(2005)
tt0081693,"Alberto De Martino (dir.), Walter George Alton, Donald Pleasence",L'uomo puma,(1980)
tt0315775,"Lisa France (dir.), Carlos Leon, Eric Smith",Anne B. Real,(2003)
tt0299930,"Martin Brest (dir.), Ben Affleck, Jennifer Lopez",Gigli,(2003)
tt0185183,"Roger Christian (dir.), John Travolta, Forest Whitaker",Battlefield Earth,(2000)
tt0055562,"Kôji Ohta (dir.), Shin'ichi Chiba, Ryûko Minakami",Uchu Kaisoku-sen,(1961)
tt0075343,"Richard Ashe (dir.), Chase Cordell, Leigh Drake",Track of the Moon Beast,(1976)
tt0057507,"Coleman Francis (dir.), Kevin Casey, Eric Tomlin",The Skydivers,(1963)
tt0174685,"Ted V. Mikels (dir.), Jody Daniels, Leslie McRay",Girl in Gold Boots,(1968)
tt0057181,"Ray Dennis Steckler (dir.), Ray Dennis Steckler, Brett O'Hara",The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,(1964)
tt0118836,"Alex Zamm (dir.), Scott 'Carrot Top' Thompson, Courtney Thorne-Smith",Chairman of the Board,(1998)
tt0451109,"Bill Cowell (dir.), Bill Cowell, Kelleigh Murray",The Maize: The Movie,(2004)
tt0072666,"Don Barton (dir.), Marshall Grauer, Wade Popwell",Zaat,(1971)
tt0116839,"Farhad Mann (dir.), Patrick Bergin, Matt Frewer",Lawnmower Man 2: Beyond Cyberspace,(1996)
tt0066476,"Don Henderson (dir.), Michael Berry, Emby Mellay",The Touch of Satan,(1971)
tt0100665,"Michael Rissi (dir.), Joe Estevez, Vivian Schilling",Soultaker,(1990)
tt0118665,"Bob Clark (dir.), Kathleen Turner, Christopher Lloyd",Baby Geniuses,(1999)
tt0086972,"Joe D'Amato (dir.), Miles O'Keeffe, Lisa Foster",Ator 2: L'invincibile Orion,(1984)
tt1651323,"Craig Moss (dir.), Heather Ann Davis, Eric Callero",Breaking Wind,(2012)
tt0061456,"Lee Sholem (dir.), Tommy Kirk, Del Moore",Catalina Caper,(1967)
tt0053464,"Eijirô Wakabayashi (dir.), Tatsuo Umemiya, Hiroko Mine",Yûsei ôji,(1959)
tt0112873,"Aune Sand (dir.), Beate Halkjelsvik, Einar Lund",Dis - en historie om kjærlighet,(1995)
tt0168172,"Kevin Alyn Elders (dir.), Dennis Rodman, Dane Cook",Simon Sez,(1999)
tt0117550,"John Murlowski (dir.), Hulk Hogan, Don Stark",Santa with Muscles,(1996)
tt0382028,"Ed Bye (dir.), Fiona Allen, Sophie Thompson",Fat Slags,(2004)
tt1098327,"James Wong (dir.), Justin Chatwin, James Marsters",Qi long zhu: Quanxin jinhua,(2009)
tt0088772,"Charles B. Pierce (dir.), Charles B. Pierce, Cindy Butler","The Barbaric Beast of Boggy Creek, Part II",(1984)
tt1572311,"Farah Khan (dir.), Akshay Kumar, Katrina Kaif",Tees Maar Khan,(2010)
tt1196334,"Mark Region (dir.), Jason Kulas, Peggy McClellan",After Last Season,(2009)
tt0109376,"Bill Fishman (dir.), David Johansen, John C. McGinley","Car 54, Where Are You?",(1994)
tt0114658,"Jonathan R. Betuel (dir.), Whoopi Goldberg, Armin Mueller-Stahl",Theodore Rex,(1995)
tt0058548,"Nicholas Webster (dir.), John Call, Leonard Hicks",Santa Claus Conquers the Martians,(1964)
tt0092297,"Jack Bravman (dir.), Adam West, Jon Mikl Thor",Zombie Nightmare,(1987)
tt0054333,"Fritz Böttger (dir.), Harald Maresch, Helga Franck",Ein Toter hing im Netz,(1960)
tt0050717,"Rafael Portillo (dir.), Ramón Gay, Rosita Arenas",La momia azteca contra el robot humano,(1958)
tt1060249,"Goldie Behl (dir.), Jayshree Arora, Veer Arya",Drona,(2008)
tt0120214,"Kasper Wedendahl (dir.), Timm Vladimir, Gordon Kennedy",Stjerner uden hjerner,(1997)
tt0145529,"David Giancola (dir.), Matthew Bruch, Bonnie Pritchard",Time Chasers,(1994)
tt0201844,"David Hillenbrand (dir.), Nicholas Brendon, Jaime Pressly",Survival Island,(2002)
tt0073396,"Andrew V. McLaglen (dir.), Joe Don Baker, Martin Balsam",Mitchell,(1975)
tt0116165,"Bill Couturié (dir.), Matt LeBlanc, Jayne Brook",Ed,(1996)
tt0037798,"Sam Newfield (dir.), Robert Lowell, Mary Beth Hughes",I Accuse My Parents,(1944)
